image_id,filename,label,split,annotator,date,source
1,Banarasi_Silk_00001.jpg,Banarasi_Silk,train,Pratham Gupta,2026-02-27,ajio.com
2,Banarasi_Silk_00002.jpg,Banarasi_Silk,train,Pratham Gupta,2026-02-21,fabindia.com
3,Banarasi_Silk_00003.jpg,Banarasi_Silk,train,Pratham Gupta,2026-02-15,limeroad.com
4,Banarasi_Silk_00004.jpg,Banarasi_Silk,train,Pratham Gupta,2026-03-11,nykafashion.com
5,Banarasi_Silk_00005.jpg,Banarasi_Silk,train,Abhinav Dogra,2026-02-22,tatacliq.com
6,Banarasi_Silk_00006.jpg,Banarasi_Silk,train,Abhinav Dogra,2026-02-23,tatacliq.com
7,Banarasi_Silk_00007.jpg,Banarasi_Silk,train,Pratham Gupta,2026-02-18,limeroad.com
8,Banarasi_Silk_00008.jpg,Banarasi_Silk,train,Pratham Gupta,2026-02-25,texmin.nic.in
9,Banarasi_Silk_00009.jpg,Banarasi_Silk,train,Pratham Gupta,2026-02-21,india.gov.in/textiles
10,Banarasi_Silk_00010.jpg,Banarasi_Silk,train,Pratham Gupta,2026-03-06,westside.com
11,Banarasi_Silk_00011.jpg,Banarasi_Silk,train,Pratham Gupta,2026-03-07,india.gov.in/textiles
12,Banarasi_Silk_00012.jpg,Banarasi_Silk,train,Pratham Gupta,2026-02-23,myntra.com
13,Banarasi_Silk_00013.jpg,Banarasi_Silk,train,Pratham Gupta,2026-02-19,craftcouncil.in
14,Banarasi_Silk_00014.jpg,Banarasi_Silk,train,Pratham Gupta,2026-03-03,handlooms.nic.in
15,Banarasi_Silk_00015.jpg,Banarasi_Silk,train,Abhinav Dogra,2026-03-05,biba.in
16,Banarasi_Silk_00016.jpg,Banarasi_Silk,train,Pratham Gupta,2026-02-24,biba.in
17,Banarasi_Silk_00017.jpg,Banarasi_Silk,train,Abhinav Dogra,2026-02-21,handlooms.nic.in
18,Banarasi_Silk_00018.jpg,Banarasi_Silk,train,Abhinav Dogra,2026-03-13,india.gov.in/textiles
19,Banarasi_Silk_00019.jpg,Banarasi_Silk,train,Pratham Gupta,2026-03-09,craftcouncil.in
20,Banarasi_Silk_00020.jpg,Banarasi_Silk,train,Pratham Gupta,2026-02-22,texmin.nic.in
21,Banarasi_Silk_00021.jpg,Banarasi_Silk,train,Abhinav Dogra,2026-02-22,westside.com
22,Banarasi_Silk_00022.jpg,Banarasi_Silk,train,Pratham Gupta,2026-02-18,sikshalochan.nic.in
23,Banarasi_Silk_00023.jpg,Banarasi_Silk,train,Abhinav Dogra,2026-03-01,india.gov.in/textiles
24,Banarasi_Silk_00024.jpg,Banarasi_Silk,train,Pratham Gupta,2026-03-08,cbazaar.com
25,Banarasi_Silk_00025.jpg,Banarasi_Silk,train,Abhinav Dogra,2026-02-24,pantaloons.com
26,Banarasi_Silk_00026.jpg,Banarasi_Silk,train,Pratham Gupta,2026-03-11,fabindia.com
27,Banarasi_Silk_00027.jpg,Banarasi_Silk,train,Pratham Gupta,2026-02-22,fabindia.com
28,Banarasi_Silk_00028.jpg,Banarasi_Silk,train,Abhinav Dogra,2026-02-17,nift.ac.in
29,Banarasi_Silk_00029.jpg,Banarasi_Silk,train,Abhinav Dogra,2026-03-12,sikshalochan.nic.in
30,Banarasi_Silk_00030.jpg,Banarasi_Silk,train,Pratham Gupta,2026-03-01,myntra.com
31,Banarasi_Silk_00031.jpg,Banarasi_Silk,train,Abhinav Dogra,2026-02-25,handlooms.nic.in
32,Banarasi_Silk_00032.jpg,Banarasi_Silk,train,Abhinav Dogra,2026-02-26,craftcouncil.in
33,Banarasi_Silk_00033.jpg,Banarasi_Silk,train,Abhinav Dogra,2026-02-21,india.gov.in/textiles
34,Banarasi_Silk_00034.jpg,Banarasi_Silk,train,Pratham Gupta,2026-02-26,nykafashion.com
35,Banarasi_Silk_00035.jpg,Banarasi_Silk,train,Pratham Gupta,2026-02-22,westside.com
36,Banarasi_Silk_00036.jpg,Banarasi_Silk,train,Abhinav Dogra,2026-03-08,handlooms.nic.in
37,Banarasi_Silk_00037.jpg,Banarasi_Silk,train,Abhinav Dogra,2026-03-04,tatacliq.com
38,Banarasi_Silk_00038.jpg,Banarasi_Silk,train,Abhinav Dogra,2026-03-02,fabindia.com
39,Banarasi_Silk_00039.jpg,Banarasi_Silk,train,Pratham Gupta,2026-03-01,nift.ac.in
40,Banarasi_Silk_00040.jpg,Banarasi_Silk,train,Pratham Gupta,2026-02-17,limeroad.com
41,Banarasi_Silk_00041.jpg,Banarasi_Silk,train,Abhinav Dogra,2026-02-24,cbazaar.com
42,Banarasi_Silk_00042.jpg,Banarasi_Silk,train,Pratham Gupta,2026-03-09,limeroad.com
43,Banarasi_Silk_00043.jpg,Banarasi_Silk,train,Pratham Gupta,2026-02-25,craftcouncil.in
44,Banarasi_Silk_00044.jpg,Banarasi_Silk,train,Abhinav Dogra,2026-03-01,westside.com
45,Banarasi_Silk_00045.jpg,Banarasi_Silk,train,Pratham Gupta,2026-03-10,nykafashion.com
46,Banarasi_Silk_00046.jpg,Banarasi_Silk,train,Pratham Gupta,2026-03-14,tatacliq.com
47,Banarasi_Silk_00047.jpg,Banarasi_Silk,train,Abhinav Dogra,2026-02-21,nift.ac.in
48,Banarasi_Silk_00048.jpg,Banarasi_Silk,train,Pratham Gupta,2026-02-28,fabindia.com
49,Banarasi_Silk_00049.jpg,Banarasi_Silk,train,Abhinav Dogra,2026-03-08,westside.com
50,Banarasi_Silk_00050.jpg,Banarasi_Silk,train,Pratham Gupta,2026-03-15,sikshalochan.nic.in
51,Banarasi_Silk_00051.jpg,Banarasi_Silk,train,Abhinav Dogra,2026-03-01,limeroad.com
52,Banarasi_Silk_00052.jpg,Banarasi_Silk,train,Abhinav Dogra,2026-02-24,nift.ac.in
53,Banarasi_Silk_00053.jpg,Banarasi_Silk,train,Pratham Gupta,2026-02-21,ajio.com
54,Banarasi_Silk_00054.jpg,Banarasi_Silk,train,Abhinav Dogra,2026-03-12,utsavfashion.com
55,Banarasi_Silk_00055.jpg,Banarasi_Silk,train,Abhinav Dogra,2026-02-20,limeroad.com
56,Banarasi_Silk_00056.jpg,Banarasi_Silk,train,Pratham Gupta,2026-02-22,ajio.com
57,Banarasi_Silk_00057.jpg,Banarasi_Silk,train,Abhinav Dogra,2026-02-21,pantaloons.com
58,Banarasi_Silk_00058.jpg,Banarasi_Silk,train,Abhinav Dogra,2026-02-28,craftcouncil.in
59,Banarasi_Silk_00059.jpg,Banarasi_Silk,train,Abhinav Dogra,2026-02-28,india.gov.in/textiles
60,Banarasi_Silk_00060.jpg,Banarasi_Silk,train,Pratham Gupta,2026-03-12,nykafashion.com
61,Banarasi_Silk_00061.jpg,Banarasi_Silk,train,Abhinav Dogra,2026-02-20,pantaloons.com
62,Banarasi_Silk_00062.jpg,Banarasi_Silk,train,Pratham Gupta,2026-03-01,westside.com
63,Banarasi_Silk_00063.jpg,Banarasi_Silk,train,Pratham Gupta,2026-03-04,tatacliq.com
64,Banarasi_Silk_00064.jpg,Banarasi_Silk,train,Pratham Gupta,2026-02-27,myntra.com
65,Banarasi_Silk_00065.jpg,Banarasi_Silk,train,Abhinav Dogra,2026-03-07,handlooms.nic.in
66,Banarasi_Silk_00066.jpg,Banarasi_Silk,train,Abhinav Dogra,2026-03-11,pantaloons.com
67,Banarasi_Silk_00067.jpg,Banarasi_Silk,train,Abhinav Dogra,2026-02-18,handlooms.nic.in
68,Banarasi_Silk_00068.jpg,Banarasi_Silk,train,Pratham Gupta,2026-02-16,tatacliq.com
69,Banarasi_Silk_00069.jpg,Banarasi_Silk,train,Pratham Gupta,2026-02-16,craftcouncil.in
70,Banarasi_Silk_00070.jpg,Banarasi_Silk,train,Pratham Gupta,2026-02-15,biba.in
71,Banarasi_Silk_00071.jpg,Banarasi_Silk,train,Abhinav Dogra,2026-02-21,nykafashion.com
72,Banarasi_Silk_00072.jpg,Banarasi_Silk,train,Pratham Gupta,2026-03-14,biba.in
73,Banarasi_Silk_00073.jpg,Banarasi_Silk,train,Pratham Gupta,2026-02-25,nift.ac.in
74,Banarasi_Silk_00074.jpg,Banarasi_Silk,train,Abhinav Dogra,2026-02-27,westside.com
75,Banarasi_Silk_00075.jpg,Banarasi_Silk,train,Pratham Gupta,2026-02-21,craftsvilla.com
76,Banarasi_Silk_00076.jpg,Banarasi_Silk,train,Abhinav Dogra,2026-03-01,ajio.com
77,Banarasi_Silk_00077.jpg,Banarasi_Silk,train,Pratham Gupta,2026-02-19,pantaloons.com
78,Banarasi_Silk_00078.jpg,Banarasi_Silk,train,Abhinav Dogra,2026-02-20,tatacliq.com
79,Banarasi_Silk_00079.jpg,Banarasi_Silk,train,Pratham Gupta,2026-02-19,nift.ac.in
80,Banarasi_Silk_00080.jpg,Banarasi_Silk,train,Abhinav Dogra,2026-02-17,westside.com
81,Banarasi_Silk_00081.jpg,Banarasi_Silk,train,Pratham Gupta,2026-02-19,sikshalochan.nic.in
82,Banarasi_Silk_00082.jpg,Banarasi_Silk,train,Pratham Gupta,2026-03-12,limeroad.com
83,Banarasi_Silk_00083.jpg,Banarasi_Silk,train,Pratham Gupta,2026-03-05,nift.ac.in
84,Banarasi_Silk_00084.jpg,Banarasi_Silk,train,Pratham Gupta,2026-02-27,craftsvilla.com
85,Banarasi_Silk_00085.jpg,Banarasi_Silk,train,Pratham Gupta,2026-03-04,handlooms.nic.in
86,Banarasi_Silk_00086.jpg,Banarasi_Silk,train,Pratham Gupta,2026-03-10,myntra.com
87,Banarasi_Silk_00087.jpg,Banarasi_Silk,train,Abhinav Dogra,2026-02-22,craftsvilla.com
88,Banarasi_Silk_00088.jpg,Banarasi_Silk,train,Abhinav Dogra,2026-03-07,nift.ac.in
89,Banarasi_Silk_00089.jpg,Banarasi_Silk,train,Abhinav Dogra,2026-02-22,limeroad.com
90,Banarasi_Silk_00090.jpg,Banarasi_Silk,train,Abhinav Dogra,2026-03-14,handlooms.nic.in
91,Banarasi_Silk_00091.jpg,Banarasi_Silk,train,Abhinav Dogra,2026-03-14,utsavfashion.com
92,Banarasi_Silk_00092.jpg,Banarasi_Silk,train,Pratham Gupta,2026-03-14,tatacliq.com
93,Banarasi_Silk_00093.jpg,Banarasi_Silk,train,Abhinav Dogra,2026-03-11,texmin.nic.in
94,Banarasi_Silk_00094.jpg,Banarasi_Silk,train,Pratham Gupta,2026-03-12,nykafashion.com
95,Banarasi_Silk_00095.jpg,Banarasi_Silk,train,Abhinav Dogra,2026-03-13,westside.com
96,Banarasi_Silk_00096.jpg,Banarasi_Silk,train,Abhinav Dogra,2026-02-28,myntra.com
97,Banarasi_Silk_00097.jpg,Banarasi_Silk,train,Pratham Gupta,2026-03-08,nykafashion.com
98,Banarasi_Silk_00098.jpg,Banarasi_Silk,train,Pratham Gupta,2026-03-13,pantaloons.com
99,Banarasi_Silk_00099.jpg,Banarasi_Silk,train,Pratham Gupta,2026-03-09,biba.in
100,Banarasi_Silk_00100.jpg,Banarasi_Silk,train,Abhinav Dogra,2026-02-15,westside.com
101,Banarasi_Silk_00101.jpg,Banarasi_Silk,train,Abhinav Dogra,2026-03-04,handlooms.nic.in
102,Banarasi_Silk_00102.jpg,Banarasi_Silk,train,Abhinav Dogra,2026-03-13,india.gov.in/textiles
103,Banarasi_Silk_00103.jpg,Banarasi_Silk,train,Abhinav Dogra,2026-02-22,ajio.com
104,Banarasi_Silk_00104.jpg,Banarasi_Silk,val,Pratham Gupta,2026-03-10,nift.ac.in
105,Banarasi_Silk_00105.jpg,Banarasi_Silk,val,Pratham Gupta,2026-02-27,ajio.com
106,Banarasi_Silk_00106.jpg,Banarasi_Silk,val,Abhinav Dogra,2026-02-22,tatacliq.com
